tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
40014010009p1;40014010009p1;2012.0;"education; school; research; teacher; educational; process; practice; state; student; analysis; work; child; teaching; policy; social; development; formation; context; paraná; pedagogical; objective; knowledge; relation; community; time; course; other; subject; history; professional";38;4;40014010009p1;educação;universidade estadual do centro-oeste;guarapuava;educação;sul;114.0;unicentro;pr;"autism; ukrainian; agroecology; capoeira; schoolbook; maroon; death; kaingang; polish; multiculturalism; catechesis; professional formation; immigrant; religious diversity; stimulation; library; special education; podcast; philosophy; goethe; didatic; art; rule; fao; adhd; tobacco; playing; hip hop; guarapuava; drama"
41006011010p3;41006011010p3;2009.0;"student; research; teaching; school; education; activity; mathematics; teacher; learning; educational; knowledge; practice; science; sciences; scientific; analysis; concept; development; use; year; datum; methodology; work; natural; class; process; natural sciences; product; subject; basic";46;4;41006011010p3;ensino;universidade regional de blumenau;blumenau;ensino de ciências naturais e matemática;sul;67.0;furb;sc;"clubs; leveling; iir; club; multiplication; flipped classroom; flipped; organic; organic chemistry; storytelling; graph theory; music; scientist; school library; library; pce; creative; linear system; rational numbers; label; exponential; financial; teaching materials; science club; game; cts; financial education; simulator; pretest; algebra"
22003010070p3;22003010070p3;2016.0;"climate; change; state; ceará; water; energy; temperature; year; area; drought; climate change; rainfall; work; risk; region; impact; period; generation; datum; use; precipitation; index; fortaleza; research; natural; analysis; disaster; civil defense; correlation; civil";5;3;22003010070p3;geociências;universidade estadual do ceará;fortaleza;climatologia e aplicações nos países da cplp e áfrica;nordeste;28.0;uece;ce;"drought; rail; pecém; disaster; defect; photovoltaic; wind; textbook; correlation; anomaly; steel; climatology; bee; colony; very weak; fire; renewable energy; uranium; teaching; index; eua; fortaleza; dourada; civil defense; rainfall; wind farm; photovoltaic system; microsoft; global temperature; renewable"
33002010172p5;33002010172p5;1994.0;"expression; effect; insulin; cell; glucose; protein; rat; group; increase; treatment; animal; muscle; control; activity; change; tissue; mouse; gene; receptor; neuron; reduction; system; adipose; training; content; acid; week; mechanism; fat; resistance";8;6;33002010172p5;ciências biológicas ii;universidade de são paulo;são paulo;ciências (fisiologia humana);sudeste;158.0;usp;sp;"aldo; nis; mcs; cnts; vta; dhea; mra; ang-(1; sil; acidosis; osteocalcin; hca; hmb; bbb; lactate; c1; et-1; melatonin; gw; pvn; athlete; exercise; gj; er; fo; retina; nox2; cr; corridor; insulin"
33003017058p4;33003017058p4;1991.0;"health; care; analysis; work; research; service; professional; mental; disease; process; social; public; mental health; practice; campinas; policy; network; patient; brazil; worker; datum; life; health care; experience; use; user; system; case; prevalence; model";22;5;33003017058p4;saúde coletiva;universidade estadual de campinas;campinas;saúde coletiva;sudeste;165.0;unicamp;sp;"toxocariasis; presenteeism; yoga; homicide; capsi; touch; pilates; sociology; workshop; asbestos; peasant; school meal; nasal; cip; judicialization; housewife; kalunga; als; intellectual disability; milk; fat; sb; bodily practice; lg; institutional analysis; burnout; tv; matrix support; bariatric surgery; child labor"
33002029016p9;33002029016p9;1975.0;"health; mental; family; nursing; care; professional; mental health; datum; analysis; drug; service; life; use; education; social; patient; research; participant; disorder; user; school; stress; work; psychiatric; interview; student; alcohol; process; people; level";20;5;33002029016p9;enfermagem;universidade de são paulo ( ribeirão preto );ribeirão preto;enfermagem psiquiátrica;sudeste;154.0;usp/rp;sp;"epilepsy; sexuality; stress; ps; adhd; social inclusion; parental style; ct; suicide; citizenship; life stress; ee; mourning; monitor; burnout; residential; psychotropic drug; aps; bone tissue; rp; psychotropic; perpetrator; drug user; early life; sds; usp; parent; capoeira; psychiatry; capoeira angola"
40002012026p9;40002012026p9;2002.0;"cell; group; treatment; level; effect; cancer; infection; disease; inflammatory; patient; production; activity; oxidative; mouse; londrina; polymorphism; stress; cytokine; tumor; animal; oxidative stress; experimental; model; expression; analysis; sample; response; pain; control; day";16;6;40002012026p9;medicina ii;universidade estadual de londrina;londrina;patologia experimental;sul;134.0;uel;pr;"ota; bpa; inulin; metformin; citral; hpv; igy; curcumin; pas; tgfb1; cxcl12; eaf; naringenin; f verticillioide; caffeine; ferritin; gp43; il-33; 6-ohda; cxcr4; cvs; pbs; endothelin; haart; led; sle; pcm; nephritis; foxp3; uvb"
40001016026p2;40001016026p2;1991.0;"reaction; compound; material; acid; sample; complex; process; work; analysis; method; different; activity; concentration; specie; use; oil; presence; water; product; high; synthesis; technique; condition; system; chemical; catalyst; solid; property; electrode; l-1";4;7;40001016026p2;química;universidade federal do paraná;curitiba;química;sul;266.0;ufpr;pr;"cellic; ppy; hantavirus; gn; alg; alkoxide; graphene; bi; ldo; xr; speciation; linkage; biochar; pheromone; cannabinoid; np; plasticizer; shale; pim; alloy; ep; aunps; emulsion; ga; tempo; atz; gum; nm; zein; cbd"
41017013001p2;41017013001p2;2006.0;"process; material; test; property; temperature; system; sample; mechanical; part; tool; machining; steel; time; hardness; iron; work; parameter; addition; wear; injection; analysis; surface; alloy; equipment; cast; treatment; cost; stress; order; mechanical property";13;2;41017013001p2;engenharias iii;centro universitário sociesc;joinville;engenharia mecânica;sul;39.0;unisociesc;sc;"abrasive; rmb; autoclave; bainitic; microcapsule; pet; alloy; tin; insert; cemented; laser; manganese; plasma; drilling; electrospinning; machining; pvc; wear; foam; drill; adi; free form; partition; austenite; nb; aluminum; phb; resin; plla; compressor"
32053010006p0;32053010006p0;2016.0;"knowledge; knowledge management; management; holistic; framework; approach; research; holistic approach; paradigm; factor; field; other; whole; level; scientific; adherence; year; several; mixed; methodological procedure; models; other finding; long; descriptive statistic; simplification; longitudinal; statistic; methodological; academic field; academic";31;4;32053010006p0;comunicação e informação;universidade fumec;belo horizonte;sistemas de informação e gestão do conhecimento;sudeste;2.0;fumec;mg;"knowledge management; holistic; holistic approach; management; knowledge; paradigm; framework; adherence; various scientific; management factor; other finding; longitudinal perspective; percentage point; several scientific; management models; factor; frameworks; management framework; new framework; scientific advance; research support; approach; whole; cartesian; simplification; greater attention; academic field; long period; scientific field; qualitative character"
22003010011p7;22003010011p7;1998.0;"man; work; philosophy; state; research; action; right; society; freedom; ethic; philosopher; will; world; human; question; concept; thought; power; political; being; history; law; philosophical; life; relationship; other; moral; benjamin; nature; individual";33;2;22003010011p7;filosofia;universidade estadual do ceará;fortaleza;filosofia;nordeste;67.0;uece;ce;"rhetoric; nihilism; fair; che; eros; jonas; wagner; ethic; narrative; humanism; will; lie; opinion; social democracy; weil; nietzsche; surrealism; usurpation; power; catastrophe; community; right; della; pico; christian religion; art; mundi; barbarism; spectacle; toy"
31001017125p5;31001017125p5;2006.0;"archaeological; material; site; research; analysis; shell; archaeology; culture; cultural; century; region; archeology; museum; other; area; order; heritage; landscape; process; use; new; group; mound; context; archaeological site; historical; structure; ritual; relation; model";35;4;31001017125p5;antropologia / arqueologia;universidade federal do rio de janeiro;rio de janeiro;arqueologia;sudeste;64.0;ufrj;rj;"defesa; biblical; pipe; sambaqui; shell; mound; museum; bronze; attic; fishing; diet; itaipu; sixteenth century; sixteenth; long bone; glass; roman; ceramic; available area; 3d; photogrammetry; mata mineira; bone; archaeological heritage; farm; jewish; funeral; glass bead; santarém; mineira"
32003013006p1;32003013006p1;2006.0;;3;3;32003013006p1;astronomia / física;universidade federal de itajubá;itajubá;física e matemática aplicada;sudeste;11.0;unifei;mg;
25003011036p8;25003011036p8;2013.0;"soil; water; environmental; area; quality; management; use; analysis; region; treatment; impact; pernambuco; industry; application; waste; environment; datum; system; volume; chemical; value; effluent; model; work; pesticide; process; laundry; organic; activity; flow";10;4;25003011036p8;engenharias i;universidade federal rural de pernambuco;recife;engenharia ambiental;nordeste;42.0;ufrpe;pe;"laundry; leachate; imazapic; riparian zone; cistern; gray water; infiltration; diesel; shear; clay; gray; textile; cohesive; water efficiency; erosion; polymer; rb867515; hillslope; pam; diesel oil; aridity; riparian; infiltration capacity; santo agostinho; agostinho; min-1; soil; rainwater; footprint; fish farming"
11001011004p7;11001011004p7;2006.0;"plant; substrate; seedling; fruit; production; experiment; treatment; soil; organic; mass; dry; design; productivity; system; growth; variable; quality; block; randomized; experimental; analysis; cultivation; number; seed; plot; nitrogen; effect; area; fertilization; use";42;4;11001011004p7;ciências agrárias i;universidade federal do acre;rio branco;produção vegetal;norte;72.0;ufac;ac;"açaí; cm³; cupuaçu; weeding; cnd; vermiculite; flooding; pollen; forage peanut; spontaneous vegetation; rootstock; jambu; pineapple; loam; pupunha; tillage; velutina; rocket; saf; bra; spontaneous; progeny; arrangement; compost; slot; mulch; injury; loam soil; dcm; larvae"
40006018012p3;40006018012p3;2010.0;"system; power; control; controller; work; fault; current; voltage; signal; method; motor; phase; network; induction; algorithm; technique; inverter; model; converter; optimization; grid; neural; simulation; order; condition; induction motor; linear; reference; error; performance";14;4;40006018012p3;engenharias iv;universidade tecnológica federal do paraná;cornélio procópio;engenharia elétrica - cornélio procópio;sul;44.0;utfpr;pr;"acl; feedback; jump; markov; capacitor; fault diagnosis; power control; pi; environmental temperature; h2; fuzzy; fault; motor; ncs; failure; converter; equality; output feedback; pv system; boost; pv; induction; controller; vector control; fuzzy control; topology; frequency inverter; error; reference frame; entropy"
32010010010p5;32010010010p5;2013.0;"biodiesel; production; catalyst; acid; reaction; process; ethanol; material; biomass; energy; oil; sugarcane; fuel; use; water; content; time; work; glycerol; fermentation; silage; condition; sample; cellulose; value; temperature; analysis; different; min; macaúba";48;3;32010010010p5;biotecnologia;universidade federal dos vales do jequitinhonha e mucuri;diamantina;biocombustíveis - ufvjm - ufu;sudeste;52.0;ufvjm;mg;"biodiesel; catalyst; ptb; silage; steam explosion; v2o5; macaúba; filamentous; fuel; vinasse; heterojunction; drug; yeast; hematite; photocatalyst; explosion; geo; esterification; canola; organomineral; glycerol; spacing; buriti; fiber; macaw; min; cake; macauba; benzyl; tin"
42003016038p9;42003016038p9;2011.0;"work; memory; system; fuzzy; application; model; technique; algorithm; use; network; architecture; logic; approach; consumption; main; datum; video; interval; computing; technology; information; processing; method; new; order; environment; different; solution; analysis; energy";2;4;42003016038p9;ciência da computação;universidade federal de pelotas;pelotas;computação;sul;85.0;ufpel;rs;"memory; quantum; grammar; fuzzy; requirement; pcm; bot; gait; cache; sizing; gg; interval; pedestrian; infrastructure; transistor; dct; skeleton; scheduling; medication; exchange; disease; dpa; dimensional electrophoresis; electrophoresis; quantization; symptom; reference frame; hevc; cloud; motif"
33006016013p0;33006016013p0;2014.0;"religious; religion; research; experience; campinas; church; work; other; christian; life; analysis; way; process; catholic; concept; society; brazil; secularization; religious experience; order; perspective; text; faith; phenomenon; context; new; god; world; freedom; century";44;3;33006016013p0;ciências da religião e teologia;pontifícia universidade católica de campinas;campinas;ciências da religião;sudeste;33.0;puccamp;sp;"secularization; esoteric; beauty; psychotherapy; las; assemblies; domination; charismatic; spirituality; religious freedom; popular catholicism; social function; exercises; authority; augustine; symbol; marian; mysticism; public sphere; ecumenism; itu; religious; fundamentalism; loyola; worldview; mary; despair; religious experience; travel; woman"
22008012001p3;22008012001p3;2008.0;"water; removal; reactor; concentration; area; environmental; quality; test; value; effluent; treatment; air; l-1; batch; organic; waste; impact; process; ph; aspergillus niger; time; niger; aspergillus; material; fungus; matter; day; production; biomass; dye";10;3;22008012001p3;engenharias i;instituto federal de educação, ciência e tecnologia do ceará;fortaleza;tecnologia e gestão ambiental;nordeste;73.0;ifce;ce;"gypsum; ncc; esa; filtration; paraquat; bagasse; nitrate; chlorine; ceará; m³; mangrove; tsi; humic; btex; cyanide; mangrove forest; glucose; menu; chitosan; glyphosate; inhalable; filtration system; peel; runoff; life; aspergillus niger; surfactant; humic substance; niger; l-1"
23001011078p4;23001011078p4;2015.0;"teaching; geography; school; teacher; student; process; education; practice; research; public; geography teaching; didactic; city; methodological; public school; knowledge; didactic book; book; rn; learning; evaluation; cartographic; content; work; geography teacher; approach; elementary school; elementary; procedure; game";36;3;23001011078p4;geografia;universidade federal do rio grande do norte;caicó;geografia;nordeste;14.0;ufrn;rn;"geography; didactic book; caicó; geography teaching; cartographic; audiovisual; natal; enem; postgraduate; game; recourse; parnamirim; audiovisual language; book market; basic network; geography teacher; didactic; multiple intelligences; geographic science; environmental education; intelligences; evaluation; book; db; environmental; school cartography; rn; methodological proposal; state public school; cartography"
23001011072p6;23001011072p6;2014.0;"quality; improvement; criterion; health; care; evaluation; intervention; patient; safety; process; cycle; management; service; quality improvement; improvement cycle; compliance; hospital; level; record; analysis; patient safety; quality criterion; professional; drug; tool; use; conclusion; indicator; action; objective";22;3;23001011072p6;saúde coletiva;universidade federal do rio grande do norte;natal;gestão da qualidade em serviços de saúde;nordeste;33.0;ufrn;rn;"rag; hemotherapy; cd; conference; drug administration; safety criterion; phd; safety culture; sepsis; safety; record; fmea; psp; identification; improvement; antineoplastic; hygiene; early warning; unitarization; acr; chemotherapeutic drug; medical record; delirium; improvement cycle; failure mode; administration; quality criterion; criterion; quality improvement; quality level"
22001018031p5;22001018031p5;1995.0;"datum; problem; system; model; work; application; time; device; cloud; approach; algorithm; performance; method; object; computing; network; evaluation; graph; number; new; environment; experiment; learning; service; game; user; information; mobile; use; data";2;5;22001018031p5;ciência da computação;universidade federal do ceará;fortaleza;ciências da computação;nordeste;167.0;ufc;ce;"sky; hotel; exception; jump; mesh; elasticity; fall; imputation; convexity; fm; cdp; mlm; field class; storage; monitoring network; violation; privacy; ux; roman; wisdom; lucy; provenance; replica; logic; regression; card; p3; contextual; crowd; linked data"
42020018003p5;42020018003p5;2005.0;"work; narrative; reading; student; research; text; language; school; analysis; literary; literacy; literature; character; genre; subject; process; other; relation; context; order; group; dissertation; theoretical; element; inference; author; teaching; comprehension; english; novel";41;4;42020018003p5;linguística e literatura;universidade de santa cruz do sul;santa cruz do sul;letras;sul;69.0;unisc;rs;"lyric; epic; anguish; absurd; poetic image; inference; augustine; diegetic; legal; realism; vocabulary; joyce; cena; rhetoric; journalism; memory; revolution; autofiction; classroom practice; literacy; ticket; roa; facebook; woman; metafiction; literary literacy; pisa; cover; época; farming"
25019015002p6;25019015002p6;2014.0;"design; research; user; experience; service; project; process; model; user experience; use; problem; new; game; development; order; application; objective; understanding; artifact; field; concept; stage; service design; education; main; people; methodology; thinking; way; relationship";29;3;25019015002p6;arquitetura, urbanismo e design;centro de estudos e sistemas avançados do recife (pe);recife;design;nordeste;22.0;cesar;pe;"adhd; menu; collaborative consumption; game; robotic; event; scrum; user experience; emotion; pharmacy; service design; maceió; gamification; canvas; beach; urban problem; adoption; legends; wearable; art gallery; robot; project manager; elderly; banking; organizer; extension project; purchase; water quality; design thinking; visitor"
26006014002p8;26006014002p8;2016.0;"environmental; environment; waste; city; research; construction; area; health; sand; perception; insect; impact; alagoas; solid; difference; datum; average; work; natural; region; residue; kg; frequency; development; sustainability; indicator; establishment; management; small; objective";49;3;26006014002p8;ciências ambientais;centro de estudos superiores de maceió;maceió;análise de sistemas ambientais;nordeste;17.0;cesmac;al;"hotel; natural sand; guest; sand; kg; insect; oyster; restaurant; forage palm; hz; mortar; aggregate; university center; stoma; mangrove; lodging; ceb; traction; indicator; portland cement; portland; hearing; worry; anvisa; palm; foz; forage; bishop; average; residue"
32004010013p8;32004010013p8;1998.0;"activity; compound; oil; material; acid; catalyst; essential; essential oil; process; analysis; treatment; effect; method; reaction; work; enzyme; different; potential; oxide; extract; use; iron; phenolic; test; chemical; new; complex; concentration; molecular; technique";42;5;32004010013p8;ciências agrárias i;universidade federal de lavras;lavras;agroquímica;sudeste;164.0;ufla;mg;"hy; qsar; acrylamide; ow; venom; quot; oe; aurora; mc; tgf-?1; halogen; eoc; oxime; hypercholesterolemic; oil; trypsin; maghemite; tin dioxide; avocado; lignin; ham; zirconia; mt; glycerol; ic; m incognita; rm; fish; papaya; pte"
52016013001p7;52016013001p7;2007.0;"research; development; public; education; policy; management; process; state; city; work; law; analysis; federal; school; goiás; environmental; company; datum; area; regional; urban; use; municipality; methodology; professional; program; course; people; field; public policy";30;3;52016013001p7;planejamento urbano e regional / demografia;centro universitário alves faria;goiânia;desenvolvimento regional;centro-oeste;127.0;unialfa;go;"ecotourism; accounting; process management; apls; tannery; expropriation; disability; tariff; clothing sector; deaf; honey; mining; basin; young people; reuni; prison; turnover; school evasion; goiano; ppa; technical efficiency; pdi; saa; prouni; goianésia; credit; logistic process; bacaba; sustainable development; breastfeeding"
12001015041p2;12001015041p2;2012.0;"area; research; education; sample; region; work; waste; gain; year; process; analysis; genetic; student; teacher; image; time; system; environmental; treatment; water; cell; specie; method; weight; extract; activity; p<00001; learning; solution; content";49;3;12001015041p2;ciências ambientais;universidade federal do amazonas;itacoatiara;ciência e tecnologia para recursos amazônicos;norte;42.0;ufam;am;"chitin; p<00001; genetic; machine learning; isolate; amazonas river; robusta; yellow; formate; teacher; methanol; propolis extract; propolis; electronic; waste; electronic waste; scratch; no3-; educator; webcam; predator; machine; predation; honey; electron; cell; beetle; chloride content; scanner; botanical"
40015017001p7;40015017001p7;1997.0;"process; soil; production; quality; model; datum; water; area; time; crop; concentration; analysis; system; value; use; condition; variable; treatment; different; seed; method; sample; parameter; spatial; index; reactor; order; test; yield; organic";42;5;40015017001p7;ciências agrárias i;universidade estadual do oeste do parana;cascavel;engenharia agrícola;sul;185.0;unioeste;pr;"bolt; mus; peanut; ndvi; biochar; depuration; pgr; biosurfactant; flow; sprout; mz; desiccation; slash; reactor; nozzle; pel; bootstrap method; crambe; ozone; hatchery; aflatoxin; uniformity; doppler; brewery; cylinder; uav; sw; sensor; anisotropy; grid"
53001010082p0;53001010082p0;2010.0;"care; patient; nursing; health; datum; child; life; analysis; professional; risk; group; use; nurse; hospital; process; research; quality; year; federal; safety; family; pain; treatment; social; disease; district; system; federal district; most; factor";20;4;53001010082p0;enfermagem;universidade de brasília;brasília;enfermagem;centro-oeste;111.0;unb;df;"luts; stoma; wh; caregiver; tracheostomy; prescription; fatigue; physical restraint; uncertainty; creativity; tb; hai; fall; ostomy; insulin; simulation; home care; palliative care; palliative; error; consumption; tobacco; objection; nest; mucositis; restraint; conscientious; trauma; radiation; consultation"
33004056092p6;33004056092p6;2016.0;;45;4;33004056092p6;interdisciplinar;universidade estadual paulista júlio de mesquita filho ( bauru );bauru;mídia e tecnologia;sudeste;0.0;unesp-bauru;sp;
41001010159p9;41001010159p9;2016.0;"system; energy; generation; power; environmental; area; photovoltaic; treatment; source; electric; impact; number; methodology; brazil; generation system; solar; power generation; work; production; electric power; naoh; mfc; rh; module; plant; decommissioning; substrate; region; wind; use";13;3;41001010159p9;engenharias iii;universidade federal de santa catarina;florianópolis;energia e sustentabilidade;sul;9.0;ufsc;sc;"mfc; ahp; eia; decommissioning; rh; module; dairy; photovoltaic; naoh; photovoltaic module; generation system; environmental study; solar; power generation; grid; liability; natural convection; area; wind; bus; impact assessment; dg; coastal zone; sample area; electric power; generation; coastal; convection; m²; enzymatic treatment"
22001018034p4;22001018034p4;1999.0;"steel; sample; corrosion; material; phase; test; alloy; property; mechanical; resistance; welding; temperature; energy; treatment; high; process; microscopy; ray; heat; diffraction; analysis; technique; corrosion resistance; electron; film; condition; solution; mechanical property; use; work";47;5;22001018034p4;materiais;universidade federal do ceará;fortaleza;engenharia e ciência de materiais;nordeste;108.0;ufc;ce;"hic; hydride; pcc; inclusion; fiber; aerogel; hydrogel; panel; overlay; solar; nickel alloy; spinel; weld; zno; gypsum; ldh; film; higuchi; sealer; silicon dioxide; solar cell; dissimilar; tricalcium; deleterious; sfe; pe; instrumental; dilution; steel; lng"
33004056086p6;33004056086p6;2006.0;"management; process; research; company; product; practice; model; development; analysis; environmental; method; performance; system; barrier; business; sustainable; production; work; project; chain; factor; quality; problem; objective; main; sustainability; literature; tool; integration; supply";13;5;33004056086p6;engenharias iii;universidade estadual paulista júlio de mesquita filho ( bauru );bauru;engenharia de produção;sudeste;95.0;unesp-bauru;sp;"mta; ambulance; clean technology; meg; bioplastic; lock; gm; portfolio management; composting; cooperativism; barrier; packaging; lean construction; procurement; enterprise; csf; integration; motivator; toc; project success; inventory; violence; automaker; spc; humanistic; credit; innovation; green supply; a3p; sustainable development"
51004011070p1;51004011070p1;2015.0;"teaching; student; school; science; knowledge; concept; learning; research; teacher; education; scientific; didactic; content; process; activity; class; development; sequence; analysis; datum; work; use; didactic sequence; public; pedagogical; science teaching; year; theory; child; proposal";46;3;51004011070p1;ensino;universidade estadual de mato grosso do sul;dourados;educação científica e matemática;centro-oeste;28.0;uems;ms;"histology; fruit; deaf; protein; cancer; uems; equation; child; healthy; biological evolution; discipline; photosynthesis; biological; astronomy; discursive interaction; library; first degree; maguerez; arch; sat; egyptian; new discipline; phc; scientific dissemination; cultural tool; mendelian; gene; literacy; jean piaget; maturana"
31005012027p9;31005012027p9;1994.0;"design; research; process; field; production; work; education; project; experience; book; user; new; designer; development; way; interaction; practice; knowledge; social; technology; digital; use; public; concept; product; other; learning; analysis; object; culture";29;5;31005012027p9;arquitetura, urbanismo e design;pontifícia universidade católica do rio de janeiro;rio de janeiro;design;sudeste;202.0;puc-rio;rj;"embroidery; toy; sofa; animation; puppet; illustration; graffiti; sound; timing; experimentation; packaging; inclusive; pocket; poetic; jewelry; fashion; book; ageing; social technology; metaphorical; 3d; computing; autistic; museum; dpa; textbook; children´s; evaluator; adult; bamboo"
31005012030p0;31005012030p0;2005.0;"social; public; brazilian; society; policy; school; work; political; brazil; research; education; new; institution; process; analysis; right; main; way; movement; city; field; life; action; state; order; perspective; thesis; representation; context; dissertation";34;4;31005012030p0;sociologia;pontifícia universidade católica do rio de janeiro;rio de janeiro;ciências sociais;sudeste;94.0;puc-rio;rj;"psa; birth; love; cinema; prostitute; financial; social capital; symbolic representation; incubator; urban segregation; dance; electoral system; duarte; chicken; maia; candomblé; amicus curiae; curiae; amicus; student mobility; pmm; labor world; public defense; parliamentary; segregation; surrealism; laicity; financialization; army; lima"
32073011001p2;32073011001p2;2010.0;"discourse; analysis; language; subject; meaning; discourse analysis; sense; process; research; discursive; school; work; way; effect; relation; education; student; society; production; other; social; memory; text; corpus; interpretation; speech; order; teaching; space; theoretical";41;4;32073011001p2;linguística e literatura;universidade do vale do sapucai;pouso alegre;ciências da linguagem;sudeste;101.0;univas;mg;"beer; transvestite; profit; apocalypse; obmep; ideb; advertising; instagram; security; laic; paralympic; samba; graffiti; wording; protest; portfolio; country; absence; sustainability; transparency; homosexual; food; special education; happiness; brand; love; neighborhood; pope; evolution; deaf"
52001016020p8;52001016020p8;1999.0;"work; social; research; analysis; process; education; public; woman; school; production; political; representation; relation; violence; life; identity; worker; new; brazil; discourse; movement; interview; people; time; society; youth; gender; other; young; goiás";34;3;52001016020p8;sociologia;universidade federal de goiás;goiânia;sociologia;centro-oeste;141.0;ufg;go;"handcraft; initiation; hiv; guerrilla; occupational; leisure; japan; retirement; party; charcoal; shopping center; intellectual; apprentice; proletariat; violence; assis; communicational; elite; driver; go; pluriactivity; transsexuality; marxism; rock; tattoo; ufg; praxis; hospital; conjugal; id"
42009014005p1;42009014005p1;2003.0;"reading; language; research; text; work; analysis; reader; school; theoretical; student; discursive; theory; subject; teacher; practice; genre; formation; discourse; production; literary; meaning; relation; corpus; enunciation; literature; education; speech; identity; objective; other";41;5;42009014005p1;linguística e literatura;fundação universidade de passo fundo;passo fundo;letras;sul;108.0;fupf;rs;"humor; fanzine; gamification; deaf; news; landscape; poster; iramuteq; career choice; anaphora; slogan; library; outsider; journalism; blog; expository; ubiquitous; tutor; anaphoric; chapada; chronic; assisi; image reading; soccer; transmedia; ds; impartiality; german; storytelling; guimarães"
32001010035p9;32001010035p9;1987.0;"child; patient; group; adolescent; year; factor; risk; analysis; age; health; care; prevalence; time; disease; level; test; variable; infant; mother; development; life; score; conclusion; association; method; body; day; food; sample; model";16;4;32001010035p9;medicina ii;universidade federal de minas gerais;belo horizonte;ciências da saúde;sudeste;204.0;ufmg;mg;"dysphonia; kangaroo; biliary; wpc; iodine; intubation; arithmetic; sexual initiation; picc; ckd; ahi; vision; tac; food; mutation; home visit; sleep; violence; asthma; varix; event; soft drink; low bmd; home; ar; prophylaxis; social behavior; finger; cvc; mb"
33027013003p4;33027013003p4;2007.0;"model; work; process; system; test; simulation; vehicle; analysis; phase; research; temperature; energy; property; time; mechanical; material; impact; company; different; level; development; method; order; specimen; management; performance; use; production; service; application";13;3;33027013003p4;engenharias iii;centro universitario da fei;são bernardo do campo;engenharia mecânica;sudeste;156.0;fei;sp;"wheelchair; lean; port; molar; outsourcing; valve; tire; ferrite; forecast; epm; temperature monitoring; steering; industrial project; propulsion; vehicle; maturity; visual management; wavelet; traceability; tightening; flint; creep; conveyor; heat exchanger; exchanger; shock; energetic efficiency; manufacturing; fastener; project manager"
33003017010p1;33003017010p1;1976.0;"specie; plant; forest; effect; community; area; diversity; different; change; chapter; habitat; interaction; species; process; structure; water; population; pattern; individual; environmental; ant; ecological; trait; other; variation; distribution; scale; tree; landscape; soil";7;7;33003017010p1;biodiversidade;universidade estadual de campinas;campinas;ecologia;sudeste;129.0;unicamp;sp;"ant; pathway; cds; bd; butterfly; edge; canopy; algal; call; decomposition; af; damage; amphipod; founder; ecological function; fire; host plant; thr; bullfrog; groundwater; courtship; coralline; carboxylate; bacterial community; liberation; network; australis; contest; debris; prey"
33009015031p7;33009015031p7;1984.0;"patient; group; pain; disease; ssc; week; woman; pattern; year; test; improvement; significant; age; method; knee; questionnaire; analysis; quality; level; treatment; life; criterion; conclusion; joint; dfs; variable; gender; difference; clinical; definite";16;5;33009015031p7;medicina ii;universidade federal de são paulo;são paulo;ciências da saúde aplicadas à reumatologia;sudeste;67.0;unifesp;sp;"ssc; dii; orthose; dfs; art therapy; rr; spa; ta; probiotic; mri; sle; embracement; articular injection; iia; fatigue; ana; recess; copd; osteoporosis; synovitis; gt; finger; regularity; definite; ud; articular; il-23; rp; sle patient; stride"
31025013002p0;31025013002p0;2006.0;"physical; exercise; education; group; sport; physical education; activity; training; school; research; session; elderly; analysis; test; datum; student; social; practice; subject; effect; objective; individual; interview; physical activity; year; other; value; significant; teacher; time";21;3;31025013002p0;educação física;universidade salgado de oliveira;niterói;ciências da atividade física;sudeste;119.0;universo;rj;"sailing; pilates; acupuncture; samba; beach; indigenous; club; pupil; scheme; handball; rowing; gymnastics; capoeira; hypertension; bullying; tdcs; curriculum; caffeine; geo; proeja; sustainable; keller; fernanda; basketball; military; dance; weight status; olympic; talent; walking"
42021014001p9;42021014001p9;2007.0;"education; research; school; teacher; educational; analysis; practice; student; process; datum; training; teaching; management; learning; program; university; pedagogical; development; knowledge; course; theoretical; action; public; social; professional; technology; la; line; context; experience";38;4;42021014001p9;educação;universidade la salle;canoas;educação;sul;131.0;unilasalle;rs;"tae; coaching; competence; marriage; social welfare; superhero; loyalty; corporate education; hybrid; sexual; palm; malaise; prouni; nurse; storytelling; informational; high ability; ta; teachers; social responsibility; health; autonomy; drug use; competency; wireless technology; welfare; nursing; dv; life satisfaction; playfulness"
50001019026p0;50001019026p0;2010.0;"material; film; cell; system; activity; light; membrane; property; application; electrical; drug; spectrum; microemulsion; polymer; visible; surface; release; current; visible spectrum; microsphere; compound; blood; electrical current; work; potential; microscopy; acid; analysis; peg; oil";47;3;50001019026p0;materiais;universidade federal de mato grosso;barra do garças;ciência de materiais;centro-oeste;54.0;ufmt;mt;"triclosan; pani; pectin; iga; trp; propolis; monolayer; photoacoustic; quercetin; electrical current; membrane; microemulsion; bsa; chl; scaffold; levamisole; visible spectrum; hydrogel; starch; cb; fractal; enamel; pva; contact angle; ee; cerrado; lippia; ob; sidoide; printer"
